CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,21,13.4265948876642,14.1122762688022,14,18.3628231528967,7,8.73199027006799,10,67.9486308350887,,,6,7.53674161537495,,,,,,,,,7,16.8686893028412,14,38.4826827927433,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,East Region,99,99,REGION EAST,99,,99,,99,East Region,173,37.0727525983071,36.7437941832635,95,41.3419150445405,78,32.9309842564564,123,44.0820714989696,8,30.7137098322264,25,21.0200615467402,,,12,55.9910414333707,,,9,12.9712902109997,66,54.5887646397142,83,64.4880580547915,15,25.6449710211827
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,5,32.9837060492117,24.5015949249647,,,,,5,42.5061633936921,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,26,20.7563286844479,20.3584956004309,17,27.7116682424282,9,14.0807609869049,16,21.7627856365615,,,7,20.6027784318342,,,,,,,,,11,33.2225913621262,12,37.4566907013765,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,52,37.1338389248325,37.2120009958735,32,46.5698402072358,20,28.0426247896803,38,44.6365643941174,,,8,22.1000580126523,,,,,,,,,20,55.730487363112,24,64.4001395336357,5,28.2310428547231
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,48,80.0186710232388,78.3422074318534,24,83.8369371572292,24,76.53305271214,35,93.8513930228193,,,7,56.772100567721,,,,,,,5,61.2070020810381,18,103.051468483426,21,133.851743259609,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,17,30.1610957348662,27.2029855290784,8,28.6985220261157,9,31.592249368155,12,29.3592347026154,,,,,,,,,,,,,,,12,74.019245003701,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,8,26.7120771979031,25.200517521858,6,41.1946446961895,,,,,,,,,,,,,,,,,,,7,90.85009733939,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,19,36.7554601203258,38.2534606643177,10,39.9616368286445,9,33.7470471333758,15,39.2927308447937,,,,,,,,,,,,,12,87.5720645114208,6,39.9920015996801,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,16,19.5747387995791,19.6210488927489,8,20.1176884775939,8,19.0603259315734,10,26.1383240106644,,,,,,,,,,,,,6,28.5483180282628,8,36.7613270839077,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,199,32.6365939860105,31.9465184461714,103,33.3925537847056,96,31.8626718841792,155,42.4426134792264,,,14,15.9556887728936,,,11,41.3347362092289,,,13,12.5545640669062,81,41.8250165234633,92,63.6797187017644,13,17.6445837914139
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,42,55.5886440341473,55.980799623268,19,48.7917618962019,23,62.8175015021576,36,59.3804638274008,,,,,,,,,,,,,19,68.1589898120247,18,109.682530010359,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,38,23.9774864022413,22.9178840329753,20,25.1876479774319,18,22.7623359214952,27,35.6299238575331,,,,,,,5,69.2808646251905,,,,,22,47.1880228218438,13,28.4345676852075,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,30,33.5476656415991,34.1211683530612,16,36.8757058240568,14,30.4109827091841,20,33.391768928959,,,,,,,,,,,,,7,27.5862068965517,17,75.2445447705041,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,61,40.212002953275,37.5646639113936,35,46.3189656313275,26,34.1507624814469,48,57.1816589828812,,,5,14.6735143066764,,,,,,,,,22,43.4087725183007,32,88.5371994577096,5,25.7944696657037
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,19,30.1300348874088,30.9508636722247,7,20.3642287775644,12,41.8322526668061,16,33.5394612724033,,,,,,,,,,,,,8,37.5041020111575,9,63.2244467860906,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,9,13.5374988718751,18.1924040834583,6,18.2260024301337,,,8,23.3877097585219,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,159,31.1870497247105,31.7300018842196,89,34.2729513247073,70,27.983545675143,126,42.1369450714823,,,15,10.2189582112736,,,,,,,11,13.0368825258367,67,49.0756204037385,71,55.9950156549445,10,16.2240212859159
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,54,46.6095843115592,44.3021349494931,24,42.6166631152781,30,50.3862949277796,35,41.3310975177724,,,8,46.5847551388808,,,,,,,,,18,60.8025942440211,29,87.5049032919948,5,27.0650644148533
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,51,31.8560854492645,32.7687374614952,36,45.3080950463149,15,18.6014211485757,48,65.1324359531046,,,,,,,,,,,,,29,64.9103565593035,16,40.6969350120819,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,25,26.344629910639,24.5308814630969,13,27.8593318046418,12,24.8792320610371,20,27.0222798697526,,,,,,,,,,,,,10,40.8964501881237,12,40.3307118370639,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,28,27.6327606114735,28.364494890581,15,29.3455932700773,13,25.8891942486159,22,50.422864477092,,,5,10.4698886003853,,,,,,,,,9,31.1084995333725,14,58.1202258385918,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,223,38.8119707952973,37.4771252596473,117,41.3386661390392,106,36.359021324909,185,58.9399099653051,,,14,8.3139341536415,,,8,37.1074725172782,,,18,22.5727972711996,68,46.2569300363933,121,78.3115765220599,16,21.4362272240086
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,48,29.2274811391411,30.3064186474303,26,31.9057553073997,22,26.5896372931749,38,53.8747270819747,,,7,9.2445853143159,,,,,,,,,17,37.560760053027,21,53.670006133715,6,33.6568126998373
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,17,35.5113636363636,33.7270038460457,5,20.9634816150266,12,49.9562882477832,15,55.0822561692127,,,,,,,,,,,,,,,11,83.7138508371385,,
Chronic Alcohol,Hospitalization,01/01/2011 12:00:00 AM,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,58,53.8958323653766,50.4712228274352,32,61.4994330521016,26,46.7777337987118,53,84.3868420214629,,,,,,,,,,,,,18,59.1443779982914,33,111.826499491698,,
